Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.004	largescale	0.004	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.004	largescale	0.004	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.008	largescale	0.008	-	20010	74.149	1.606	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.018	largescale	0.018	-	63	2.065	-1.620	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.006	largescale	0.006	-	3726	53.569	0.583	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.010	largescale	0.01	-	124	1.385	-0.162	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
CHST1	-	protein_coding	11	p11.2	-	-	-	-	0.008	largescale	0.008	-	903	8.850	0.335	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	-0.018	largescale	-0.018	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	0.967	-0.019	0.967
CHST3	-	protein_coding	10	q22.1	-	-	-	-	0.007	largescale	0.007	-	23994	117.346	2.634	-	-	-	-	-	-	-	-	-	-	-	-	0.007	1.970	0.007	1.970
CHST2	-	protein_coding	3	q24	-	-	-	-	0.018	largescale	0.018	-	1743	16.851	-0.588	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
CHST5	-	protein_coding	16	q23.1	-	-	-	-	-0.921	largescale	-0.921	-	1	0.010	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.990	0.986	-0.990	0.986
CHST4	-	protein_coding	16	q22.2	-	-	-	-	-0.921	largescale	-0.921	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.990	0.986	-0.990	0.986
CHST7	-	protein_coding	X	p11.23	-	-	-	-	0.004	largescale	0.004	-	793	11.809	-0.096	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
CHST6	-	protein_coding	16	q23.1	-	-	-	-	-0.921	largescale	-0.921	-	16	0.157	-2.175	-	-	-	-	-	-	-	-	-	-	-	-	-0.990	0.986	-0.990	0.986
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	0.004	largescale	0.004	-	95	0.496	-2.679	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	0.008	largescale	0.008	-	12	0.990	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	0.006	largescale	0.006	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	0.002	largescale	0.002	-	2	0.086	-	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	0.008	largescale	0.008	-	4	0.179	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
BCL2A1	Q16548	protein_coding	15	q25.1	-	-	-	-	0.008	largescale	0.008	-	45	1.409	-2.117	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
RPS4XP8	-	pseudogene	6	q25.2	-	-	-	-	0.015	largescale	0.015	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
RPS4XP9	-	pseudogene	6	q22.32	-	-	-	-	0.015	largescale	0.015	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
RNU4-76P	-	snRNA	6	q22.31	-	-	-	-	0.015	largescale	0.015	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
ITGAV	P06756	protein_coding	2	q32.1	yes	-	-	-	0.009	largescale	0.009	-	51711	214.677	0.588	-	-	-	-	-	-	-	-	-	-	-	CILENGITIDE	0.009	1.973	0.009	1.973
ITGAL	P20701	protein_coding	16	p11.2	-	-	-	-	0.004	largescale	0.004	-	114	0.600	-0.991	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
ITGAM	P11215	protein_coding	16	p11.2	-	-	-	-	0.004	largescale	0.004	-	98	0.590	-1.624	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
ITGAD	Q13349	protein_coding	16	p11.2	-	-	-	-	0.004	largescale	0.004	-	20	0.155	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
ITGAE	P38570	protein_coding	17	p13.2	-	-	-	-	0.003	largescale	0.003	-	1982	10.149	-0.926	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
ATP1B3-AS1	-	antisense	3	q23	-	-	-	-	0.018	largescale	0.018	-	1	0.091	-	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
IGF2R	P11717	protein_coding	6	q25.3	-	-	-	-	0.015	largescale	0.015	-	14382	49.232	1.354	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
SLC36A4	-	protein_coding	11	q21	-	-	-	-	0.008	largescale	0.008	-	3836	13.507	-0.904	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
SLC36A3	-	protein_coding	5	q33.1	-	-	-	-	0.002	largescale	0.002	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
CKS1B	P61024	protein_coding	5	q12.1,q21.3	-	-	-	-	0.002,0.570	largescale,largescale	0.57	-	4	0.568	-0.904	-	-	-	-	-	-	-	-	-	-	-	-	0.002,0.595	1.963,2.960	0.595	2.960
SLC36A1	Q7Z2H8	protein_coding	5	q33.1	-	-	-	-	0.002	largescale	0.002	-	2372	11.469	1.113	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
ARTN	-	protein_coding	1	p34.1	-	-	-	-	0.008	largescale	0.008	-	76	0.975	-0.892	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
ART1	P52961	protein_coding	11	p15.4	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
ART3	-	protein_coding	4	q21.1	-	-	-	-	0.000	largescale	0.0	-	14	0.146	-1.380	-	-	-	-	-	-	-	-	-	-	-	-	0.000	1.960	0.000	1.960
ART5	-	protein_coding	11	p15.4	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
ART4	-	protein_coding	12	p12.3	-	-	-	-	0.006	largescale	0.006	-	8	0.052	-	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
CRTAM	-	protein_coding	11	q24.1	-	-	-	-	0.008	largescale	0.008	-	12	0.153	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
DPYD-IT1	-	sense_intronic	1	p21.3	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
CADPS2	-	protein_coding	7	q31.32	-	-	-	-	0.573	largescale	0.573	-	3036	16.262	0.426	-	-	-	-	-	-	-	-	-	-	-	-	0.598	2.966	0.598	2.966
RLF	-	protein_coding	1	p34.2	-	-	-	-	0.008	largescale	0.008	-	6445	35.174	0.541	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
RNU6-590P	-	snRNA	12	p13.1	-	-	-	-	0.006	largescale	0.006	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
CRTAP	-	protein_coding	3	p22.3	-	-	-	-	0.018	largescale	0.018	-	21935	111.683	0.338	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
ADPGK	-	protein_coding	15	q24.1	-	-	-	-	0.008	largescale	0.008	-	3288	18.897	-1.344	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
HPYR1	-	lincRNA	8	q24.22	-	-	-	-	0.049	largescale	0.049	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.052	2.031	0.052	2.031
CPEB4	-	protein_coding	5	q35.2	-	-	-	-	0.002	largescale	0.002	-	20464	67.910	1.536	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
CPEB1	-	protein_coding	15	q25.2	-	-	-	-	0.008	largescale	0.008	-	151	0.627	-0.381	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
CPEB3	-	protein_coding	10	q23.32	-	-	-	-	0.007	largescale	0.007	-	609	2.629	-0.186	-	-	-	-	-	-	-	-	-	-	-	-	0.007	1.970	0.007	1.970
CPEB2	-	protein_coding	4	p15.33	-	-	-	-	0.001	largescale	0.001	-	2523	11.983	-0.840	-	-	-	-	-	-	-	-	-	-	-	-	0.001	1.961	0.001	1.961
SRBD1	-	protein_coding	2	p21	-	-	-	-	0.009	largescale	0.009	-	2699	18.236	0.675	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
ABAT	P80404	protein_coding	16	p13.2	-	-	-	-	0.004	largescale	0.004	-	47051	164.600	0.941	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
POU5F1B	-	protein_coding	8	q24.21	-	-	-	-	0.049	largescale	0.049	-	38	0.242	-	-	-	-	-	-	-	-	-	-	-	-	-	0.052	2.031	0.052	2.031
PHOX2A	-	protein_coding	11	q13.4	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
OR4A44P	-	pseudogene	11	p11.2	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
PHOX2B	-	protein_coding	4	p13	-	yes	-	-	0.001	largescale	0.001	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.001	1.961	0.001	1.961
NLRP14	-	protein_coding	11	p15.4	-	-	-	-	0.008	largescale	0.008	-	24	0.225	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
UPK2	-	protein_coding	11	q23.3	-	-	-	-	0.008	largescale	0.008	-	231	7.120	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
CFH	-	protein_coding	1	q31.3	-	-	-	-	-0.927	focal	-0.927	-	940	3.934	-0.577	-	-	-	-	-	-	-	-	-	-	-	-	-0.997	0.982	-0.997	0.982
CFI	P05156	protein_coding	4	q25	-	-	-	-	0.000	largescale	0.0	-	492	4.330	-1.453	-	-	-	-	-	-	-	-	-	-	-	-	0.000	1.960	0.000	1.960
ANKFY1	-	protein_coding	17	p13.2	-	-	-	-	0.003	largescale	0.003	-	23864	57.603	1.395	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
RNU6-347P	-	snRNA	20	q13.2	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
CFB	P00751	protein_coding	6	p21.33	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
TPT1-AS1	-	antisense	13	q14.13	-	-	-	-	-0.924	largescale	-0.924	-	1988	7.992	0.566	-	-	-	-	-	-	-	-	-	-	-	-	-0.994	0.984	-0.994	0.984
CFP	-	protein_coding	X	p11.23	-	-	-	-	0.004	largescale	0.004	-	188	1.400	-0.483	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
RNU5B-1	-	snRNA	15	q22.31	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
AAAS	-	protein_coding	12	q13.13	-	-	-	-	0.006	largescale	0.006	-	4704	38.750	-0.159	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
RNU6-767P	-	snRNA	17	p11.2	-	-	-	-	0.003	largescale	0.003	-	3	0.956	-	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
SIDT1	-	protein_coding	3	q13.2	-	-	-	-	0.018	largescale	0.018	-	268	1.132	0.316	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
SIDT2	-	protein_coding	11	q23.3	-	-	-	-	0.008	largescale	0.008	-	4822	18.141	1.420	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
SAGE1	-	protein_coding	X	q26.3	-	-	-	-	0.004	largescale	0.004	-	2	0.022	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
TGIF2LX	-	protein_coding	X	q21.31	-	-	-	-	0.004	largescale	0.004	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
AAGAB	-	protein_coding	15	q22.33,q23	-	-	-	-	0.008	largescale	0.008	-	3131	27.845	-2.039	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
C4orf19	-	protein_coding	4	p14	-	-	-	-	0.001	largescale	0.001	-	253	3.113	0.222	-	-	-	-	-	-	-	-	-	-	-	-	0.001	1.961	0.001	1.961
SLC7A6OS	-	protein_coding	16	q22.1	-	-	-	-	-0.921	largescale	-0.921	-	1412	9.279	-0.489	-	-	-	-	-	-	-	-	-	-	-	-	-0.990	0.986	-0.990	0.986
C4orf17	-	protein_coding	4	q23	-	-	-	-	0.000	largescale	0.0	-	2	0.021	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	1.960	0.000	1.960
CDH26	-	protein_coding	20	q13.33	-	-	-	-	0.008	largescale	0.008	-	68	0.402	-0.951	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
EIF3EP2	-	pseudogene	2	q24.2	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
EIF3EP1	-	pseudogene	6	q13	-	-	-	-	0.015	largescale	0.015	-	802	20.774	0.689	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
RNU6-67P	-	snRNA	13	q31.1	-	-	-	-	0.004	largescale	0.004	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
SCYL1	-	protein_coding	11	q13.1	-	-	-	-	0.008	largescale	0.008	-	7203	57.341	1.600	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
IGLVI-38	-	IG_V_pseudogene	22	q11.22	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
NBEAP1	-	pseudogene	15	q11.2	-	-	-	-	0.008	largescale	0.008	-	15	0.139	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
NBEAP3	-	pseudogene	22	q11.1	-	-	-	-	0.009	largescale	0.009	-	2	0.100	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
RFPL4AL1	-	protein_coding	19	q13.42	-	-	-	-	0.010	largescale	0.01	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
RNU6ATAC39P	-	snRNA	10	p13	-	-	-	-	0.007	largescale	0.007	-	1	0.229	-	-	-	-	-	-	-	-	-	-	-	-	-	0.007	1.970	0.007	1.970
ABCE1	P61221	protein_coding	4	q31.21	-	-	-	-	0.000	largescale	0.0	-	12095	65.809	0.586	-	-	-	-	-	-	-	-	-	-	-	-	0.000	1.960	0.000	1.960
TEN1-CDK3	-	processed_transcript	17	q25.1	-	-	-	-	0.003	largescale	0.003	-	72	0.630	-1.107	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
ZNF197-AS1	-	antisense	3	p21.31	-	-	-	-	0.018	largescale	0.018	-	58	3.174	-1.407	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
MKRN2OS	-	protein_coding	3	p25.2	-	-	-	-	0.018	largescale	0.018	-	4	0.075	-	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
MSL3P1	-	pseudogene	2	q37.1	-	-	-	-	0.009	largescale	0.009	-	917	13.722	1.033	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
NCBP2-AS1	-	antisense	3	q29	-	-	-	-	0.018	largescale	0.018	-	5	0.303	-	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
SNORD115-1	-	snoRNA	15	q11.2	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
NCBP2-AS2	-	lincRNA	3	q29	-	-	-	-	0.018	largescale	0.018	-	2222	82.509	-0.094	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
MDC1-AS1	-	antisense	6	p21.33	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
SPPL2A	-	protein_coding	15	q21.2	-	-	-	-	0.008	largescale	0.008	-	3483	38.287	-0.365	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
RNU6-163P	-	snRNA	10	p15.1	-	-	-	-	0.007	largescale	0.007	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.007	1.970	0.007	1.970
ZNF117	-	protein_coding	7	q11.21	-	-	-	-	0.010	largescale	0.01	-	1589	12.085	-0.819	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
ZNF114	-	protein_coding	19	q13.33	-	-	-	-	0.010	largescale	0.01	-	354	3.909	-0.052	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
ZNF112	-	protein_coding	19	q13.31	-	-	-	-	0.010	largescale	0.01	-	2345	20.773	1.643	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
SEZ6L	-	protein_coding	22	q12.1	-	-	-	-	0.009	largescale	0.009	-	49175	234.377	1.059	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
FAM197Y7P	-	antisense	Y	p11.2	-	-	-	-	-0.018	largescale	-0.018	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	0.967	-0.019	0.967
PRKAR2A	-	protein_coding	3	p21.31	-	-	-	-	0.018	largescale	0.018	-	13346	68.473	1.818	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
PRKAR2B	P31323	protein_coding	7	q22.3	-	-	-	-	0.566	focal	0.566	-	3336	26.336	-0.257	-	-	-	-	-	-	-	-	-	-	-	-	0.590	2.951	0.590	2.951
MAGT1	-	protein_coding	X	q21.1	-	-	-	-	0.004	largescale	0.004	-	2783	19.512	-1.408	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
RNU7-119P	-	snRNA	3	p13	-	-	-	-	0.018	largescale	0.018	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
TMEM200B	-	protein_coding	1	p35.3	-	-	-	-	0.008	largescale	0.008	-	64	0.827	-0.721	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
RNU7-104P	-	snRNA	2	q31.2	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
ITGA2B	P08514	protein_coding	17	q21.31	-	-	-	-	0.003	largescale	0.003	-	148	0.909	-0.265	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
FAM58DP	-	pseudogene	13	q12.11	-	-	-	-	-4.352	focal	-4.352	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-27.546	0.000	-27.546	0.000
PHACTR4	-	protein_coding	1	p35.3	-	-	-	-	0.008	largescale	0.008	-	7252	34.502	0.514	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
NLGN2	Q8NFZ4	protein_coding	17	p13.1	-	-	-	-	0.003	largescale	0.003	-	29913	183.724	1.820	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
NLGN3	Q9NZ94	protein_coding	X	q13.1	-	-	-	-	0.004	largescale	0.004	-	13803	117.452	1.134	-	-	-	-	-	-	-	-	-	-	-	-	0.004	0.983	0.004	0.983
PHACTR3	-	protein_coding	20	q13.33,q13.32	-	-	-	-	0.008	largescale	0.008	-	12082	67.572	0.938	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
