Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.620	largescale	-0.62	-	-	-	0.763	-	-	-	-	-	-	-	-	-	-	-	-	-1.040	1.075	-1.040	1.075
CHST2	-	protein_coding	3	q24	-	-	-	-	-0.010	largescale	-0.01	-	-	-	-0.049	-	-	-	-	-	-	-	-	-	-	-	-	-0.015	2.188	-0.015	2.188
CHST5	-	protein_coding	16	q23.1	-	-	-	-	-0.024	largescale	-0.024	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
CHST4	-	protein_coding	16	q22.2	-	-	-	-	-0.024	largescale	-0.024	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
CHST7	-	protein_coding	X	p11.23	-	-	-	-	-0.009	largescale	-0.009	-	-	-	0.928	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
CHST6	-	protein_coding	16	q23.1	-	-	-	-	-0.024	largescale	-0.024	-	-	-	1.303	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	-0.024	largescale	-0.024	-	-	-	-1.131	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	-0.021	largescale	-0.021	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.031	2.163	-0.031	2.163
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	0.409	largescale	0.409	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	-0.012	largescale	-0.012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	2.183	-0.018	2.183
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	-0.014	largescale	-0.014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
BCL2A1	Q16548	protein_coding	15	q25.1	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-1.433	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
RPS4XP8	-	pseudogene	6	q25.2	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
RPS4XP9	-	pseudogene	6	q22.32	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
RNU4-76P	-	snRNA	6	q22.31	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
ITGAV	P06756	protein_coding	2	q32.1	yes	-	-	-	-0.014	largescale	-0.014	-	-	-	1.928	-	-	-	-	-	-	-	-	-	-	-	CILENGITIDE	-0.021	2.179	-0.021	2.179
ITGAL	P20701	protein_coding	16	p11.2	-	-	-	-	-0.024	largescale	-0.024	-	-	-	-0.758	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
ITGAM	P11215	protein_coding	16	p11.2	-	-	-	-	-0.024	largescale	-0.024	-	-	-	0.070	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
ITGAD	Q13349	protein_coding	16	p11.2	-	-	-	-	-0.024	largescale	-0.024	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
ITGAE	P38570	protein_coding	17	p13.2	-	-	-	-	-0.023	largescale	-0.023	-	-	-	-0.579	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
ATP1B3-AS1	-	antisense	3	q23	-	-	-	-	-0.010	largescale	-0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.015	2.188	-0.015	2.188
IGF2R	P11717	protein_coding	6	q25.3	-	-	-	-	-0.011	largescale	-0.011	-	-	-	1.229	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
SLC36A4	-	protein_coding	11	q21	-	-	-	-	-0.017	largescale	-0.017	-	-	-	0.906	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
SLC36A3	-	protein_coding	5	q33.1	-	-	-	-	-0.012	largescale	-0.012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	2.183	-0.018	2.183
CKS1B	P61024	protein_coding	5	q12.1,q21.3	-	-	-	-	-0.012,-0.014	largescale,largescale	-0.014	-	-	-	-1.401	-	-	-	-	-	-	-	-	-	-	-	-	-0.018,-0.021	2.183,2.179	-0.021	2.179
SLC36A1	Q7Z2H8	protein_coding	5	q33.1	-	-	-	-	-0.012	largescale	-0.012	-	-	-	-0.070	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	2.183	-0.018	2.183
ARTN	-	protein_coding	1	p34.1	-	-	-	-	-0.014	largescale	-0.014	-	-	-	0.023	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
ART1	P52961	protein_coding	11	p15.4	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
ART3	-	protein_coding	4	q21.1	-	-	-	-	-0.016	largescale	-0.016	-	-	-	-1.177	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
ART5	-	protein_coding	11	p15.4	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
ART4	-	protein_coding	12	p12.3	-	-	-	-	0.409	largescale	0.409	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
CRTAM	-	protein_coding	11	q24.1	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
DPYD-IT1	-	sense_intronic	1	p21.3	-	-	-	-	-0.014	largescale	-0.014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
CADPS2	-	protein_coding	7	q31.32	-	-	-	-	0.409	largescale	0.409	-	-	-	0.863	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
RLF	-	protein_coding	1	p34.2	-	-	-	-	-0.014	largescale	-0.014	-	-	-	0.788	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
RNU6-590P	-	snRNA	12	p13.1	-	-	-	-	0.409	largescale	0.409	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
CRTAP	-	protein_coding	3	p22.3	-	-	-	-	-0.013	largescale	-0.013	-	-	-	0.394	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	2.181	-0.019	2.181
ADPGK	-	protein_coding	15	q24.1	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-0.517	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
HPYR1	-	lincRNA	8	q24.22	-	-	-	-	-0.015	largescale	-0.015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	2.176	-0.022	2.176
CPEB4	-	protein_coding	5	q35.2	-	-	-	-	-0.022	largescale	-0.022	-	-	-	1.673	-	-	-	-	-	-	-	-	-	-	-	-	-0.032	2.161	-0.032	2.161
CPEB1	-	protein_coding	15	q25.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-0.123	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
CPEB3	-	protein_coding	10	q23.32	-	-	-	-	-0.620	largescale	-0.62	-	-	-	0.640	-	-	-	-	-	-	-	-	-	-	-	-	-1.040	1.075	-1.040	1.075
CPEB2	-	protein_coding	4	p15.33	-	-	-	-	-0.016	largescale	-0.016	-	-	-	-0.527	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
SRBD1	-	protein_coding	2	p21	-	-	-	-	-0.014	largescale	-0.014	-	-	-	0.059	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
ABAT	P80404	protein_coding	16	p13.2	-	-	-	-	-0.024	largescale	-0.024	-	-	-	-0.614	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
POU5F1B	-	protein_coding	8	q24.21	-	-	-	-	-0.015	largescale	-0.015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	2.176	-0.022	2.176
PHOX2A	-	protein_coding	11	q13.4	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
OR4A44P	-	pseudogene	11	p11.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
PHOX2B	-	protein_coding	4	p13	-	yes	-	-	-0.016	largescale	-0.016	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
NLRP14	-	protein_coding	11	p15.4	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
UPK2	-	protein_coding	11	q23.3	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
CFH	-	protein_coding	1	q31.3	-	-	-	-	-0.014	largescale	-0.014	-	-	-	1.401	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
CFI	P05156	protein_coding	4	q25	-	-	-	-	-0.016	largescale	-0.016	-	-	-	0.870	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
ANKFY1	-	protein_coding	17	p13.2	-	-	-	-	-0.023	largescale	-0.023	-	-	-	1.118	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
RNU6-347P	-	snRNA	20	q13.2	-	-	-	-	-0.021	largescale	-0.021	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.031	2.163	-0.031	2.163
CFB	P00751	protein_coding	6	p21.33	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
TPT1-AS1	-	antisense	13	q14.13	-	-	-	-	-0.618	largescale	-0.618	-	-	-	-2.075	-	-	-	-	-	-	-	-	-	-	-	-	-1.036	1.078	-1.036	1.078
CFP	-	protein_coding	X	p11.23	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-0.422	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
RNU5B-1	-	snRNA	15	q22.31	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
AAAS	-	protein_coding	12	q13.13	-	-	-	-	0.409	largescale	0.409	-	-	-	-1.159	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
RNU6-767P	-	snRNA	17	p11.2	-	-	-	-	-0.023	largescale	-0.023	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
SIDT1	-	protein_coding	3	q13.2	-	-	-	-	-0.003	focal	-0.003	-	-	-	0.038	-	-	-	-	-	-	-	-	-	-	-	-	-0.004	2.203	-0.004	2.203
SIDT2	-	protein_coding	11	q23.3	-	-	-	-	-0.017	largescale	-0.017	-	-	-	1.470	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
SAGE1	-	protein_coding	X	q26.3	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
TGIF2LX	-	protein_coding	X	q21.31	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
AAGAB	-	protein_coding	15	q22.33,q23	-	-	-	-	-0.017	largescale	-0.017	-	-	-	1.529	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
C4orf19	-	protein_coding	4	p14	-	-	-	-	-0.016	largescale	-0.016	-	-	-	1.664	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
SLC7A6OS	-	protein_coding	16	q22.1	-	-	-	-	-0.024	largescale	-0.024	-	-	-	0.207	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	2.156	-0.035	2.156
C4orf17	-	protein_coding	4	q23	-	-	-	-	-0.016	largescale	-0.016	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
CDH26	-	protein_coding	20	q13.33	-	-	-	-	-0.021	largescale	-0.021	-	-	-	0.014	-	-	-	-	-	-	-	-	-	-	-	-	-0.031	2.163	-0.031	2.163
EIF3EP2	-	pseudogene	2	q24.2	-	-	-	-	-0.014	largescale	-0.014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
EIF3EP1	-	pseudogene	6	q13	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-0.516	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
RNU6-67P	-	snRNA	13	q31.1	-	-	-	-	-0.618	largescale	-0.618	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.036	1.078	-1.036	1.078
SCYL1	-	protein_coding	11	q13.1	-	-	-	-	-0.017	largescale	-0.017	-	-	-	1.656	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
IGLVI-38	-	IG_V_pseudogene	22	q11.22	-	-	-	-	-0.033	largescale	-0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.049	2.137	-0.049	2.137
NBEAP1	-	pseudogene	15	q11.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
NBEAP3	-	pseudogene	22	q11.1	-	-	-	-	-0.033	largescale	-0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.049	2.137	-0.049	2.137
RFPL4AL1	-	protein_coding	19	q13.42	-	-	-	-	0.392	focal	0.392	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.545	3.225	0.545	3.225
RNU6ATAC39P	-	snRNA	10	p13	-	-	-	-	-0.615	largescale	-0.615	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.030	1.082	-1.030	1.082
ABCE1	P61221	protein_coding	4	q31.21	-	-	-	-	-0.016	largescale	-0.016	-	-	-	1.538	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
TEN1-CDK3	-	processed_transcript	17	q25.1	-	-	-	-	0.314	focal	0.314	-	-	-	-0.977	-	-	-	-	-	-	-	-	-	-	-	-	0.441	3.000	0.441	3.000
ZNF197-AS1	-	antisense	3	p21.31	-	-	-	-	-0.013	largescale	-0.013	-	-	-	-0.801	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	2.181	-0.019	2.181
MKRN2OS	-	protein_coding	3	p25.2	-	-	-	-	-0.013	largescale	-0.013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	2.181	-0.019	2.181
MSL3P1	-	pseudogene	2	q37.1	-	-	-	-	-0.019	largescale	-0.019	-	-	-	0.351	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	2.167	-0.028	2.167
NCBP2-AS1	-	antisense	3	q29	-	-	-	-	-0.015	focal	-0.015	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	2.176	-0.022	2.176
SNORD115-1	-	snoRNA	15	q11.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
NCBP2-AS2	-	lincRNA	3	q29	-	-	-	-	-0.015	focal	-0.015	-	-	-	-1.512	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	2.176	-0.022	2.176
MDC1-AS1	-	antisense	6	p21.33	-	-	-	-	-0.011	largescale	-0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.185	-0.016	2.185
SPPL2A	-	protein_coding	15	q21.2	-	-	-	-	-0.017	largescale	-0.017	-	-	-	0.530	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	2.172	-0.025	2.172
RNU6-163P	-	snRNA	10	p15.1	-	-	-	-	-0.615	largescale	-0.615	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.030	1.082	-1.030	1.082
ZNF117	-	protein_coding	7	q11.21	-	-	-	-	0.406	largescale	0.406	-	-	-	-0.928	-	-	-	-	-	-	-	-	-	-	-	-	0.564	3.266	0.564	3.266
ZNF114	-	protein_coding	19	q13.33	-	-	-	-	0.392	focal	0.392	-	-	-	-0.863	-	-	-	-	-	-	-	-	-	-	-	-	0.545	3.225	0.545	3.225
ZNF112	-	protein_coding	19	q13.31	-	-	-	-	0.395	focal	0.395	-	-	-	1.694	-	-	-	-	-	-	-	-	-	-	-	-	0.549	3.234	0.549	3.234
SEZ6L	-	protein_coding	22	q12.1	-	-	-	-	-0.033	largescale	-0.033	-	-	-	-0.426	-	-	-	-	-	-	-	-	-	-	-	-	-0.049	2.137	-0.049	2.137
FAM197Y7P	-	antisense	Y	p11.2	-	-	-	-	-0.098	largescale	-0.098	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.147	0.998	-0.147	0.998
PRKAR2A	-	protein_coding	3	p21.31	-	-	-	-	-0.028	focal	-0.028	-	-	-	0.600	-	-	-	-	-	-	-	-	-	-	-	-	-0.041	2.148	-0.041	2.148
PRKAR2B	P31323	protein_coding	7	q22.3	-	-	-	-	0.409	largescale	0.409	-	-	-	0.503	-	-	-	-	-	-	-	-	-	-	-	-	0.568	3.275	0.568	3.275
MAGT1	-	protein_coding	X	q21.1	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-0.132	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
RNU7-119P	-	snRNA	3	p13	-	-	-	-	-0.016	largescale	-0.016	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.024	2.174	-0.024	2.174
TMEM200B	-	protein_coding	1	p35.3	-	-	-	-	-0.014	largescale	-0.014	-	-	-	0.512	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
RNU7-104P	-	snRNA	2	q31.2	-	-	-	-	-0.014	largescale	-0.014	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
ITGA2B	P08514	protein_coding	17	q21.31	-	-	-	-	-0.023	largescale	-0.023	-	-	-	-0.050	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
FAM58DP	-	pseudogene	13	q12.11	-	-	-	-	-0.618	largescale	-0.618	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.036	1.078	-1.036	1.078
PHACTR4	-	protein_coding	1	p35.3	-	-	-	-	-0.014	largescale	-0.014	-	-	-	0.968	-	-	-	-	-	-	-	-	-	-	-	-	-0.021	2.179	-0.021	2.179
NLGN2	Q8NFZ4	protein_coding	17	p13.1	-	-	-	-	-0.023	largescale	-0.023	-	-	-	-1.618	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	2.159	-0.034	2.159
NLGN3	Q9NZ94	protein_coding	X	q13.1	-	-	-	-	-0.009	largescale	-0.009	-	-	-	-0.561	-	-	-	-	-	-	-	-	-	-	-	-	-0.013	1.095	-0.013	1.095
