Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.334	focal	-0.334	-	2	0.204	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.431	1.483	-0.431	1.483
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.578	focal	0.578	-	27	2.430	-1.408	-	-	-	-	-	-	-	-	-	-	-	-	0.692	3.232	0.692	3.232
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	-0.054	focal	-0.054	-	853	27.444	-0.441	-	-	-	-	-	-	-	-	-	-	-	-	-0.068	1.908	-0.068	1.908
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	1226	96.139	-1.472	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.246	focal	0.246	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.301	1.232	0.301	1.232
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.246	focal	0.246	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.301	1.232	0.301	1.232
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.470	focal	0.47	-	1998	19.433	1.338	-	-	-	-	-	-	-	-	-	-	-	-	0.567	2.963	0.567	2.963
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.017	focal	0.017	-	284	24.433	-0.185	-	-	-	-	-	-	-	-	-	-	-	-	0.021	2.030	0.021	2.030
CHST9	-	protein_coding	18	q11.2	-	-	-	-	-0.080,0.112	focal,focal	0.112	-	430	16.227	0.469	-	-	-	-	-	-	-	-	-	-	-	-	-0.101,0.139	1.865,2.202	0.139	2.202
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.104	focal	0.104	-	125	3.666	-0.725	-	-	-	-	-	-	-	-	-	-	-	-	0.129	2.187	0.129	2.187
CHST1	-	protein_coding	11	p11.2	-	-	-	-	-0.312	focal	-0.312	-	2002	51.503	1.227	-	-	-	-	-	-	-	-	-	-	-	-	-0.402	1.514	-0.402	1.514
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	-0.069	focal	-0.069	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.087	0.942	-0.087	0.942
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.497	focal	-0.497	-	1918	24.621	0.611	-	-	-	-	-	-	-	-	-	-	-	-	-0.654	1.271	-0.654	1.271
CHST2	-	protein_coding	3	q24	-	-	-	-	0.170	focal	0.17	-	3890	98.710	-0.003	-	-	-	-	-	-	-	-	-	-	-	-	0.210	2.313	0.210	2.313
CHST5	-	protein_coding	16	q23.1	-	-	-	-	-0.069	focal	-0.069	-	16	0.431	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.087	1.883	-0.087	1.883
CHST4	-	protein_coding	16	q22.2	-	-	-	-	-0.172	focal	-0.172	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.218	1.719	-0.218	1.719
CHST7	-	protein_coding	X	p11.23	-	-	-	-	0.181	focal	0.181	-	480	18.762	-0.230	-	-	-	-	-	-	-	-	-	-	-	-	0.223	1.167	0.223	1.167
CHST6	-	protein_coding	16	q23.1	-	-	-	-	-0.069	focal	-0.069	-	474	12.222	0.183	-	-	-	-	-	-	-	-	-	-	-	-	-0.087	1.883	-0.087	1.883
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	-0.404	focal	-0.404	-	8976	122.932	0.061	-	-	-	-	-	-	-	-	-	-	-	-	-0.526	1.389	-0.526	1.389
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	-0.253	focal	-0.253	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.324	1.598	-0.324	1.598
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	-0.205	focal	-0.205	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.261	1.669	-0.261	1.669
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	0.185	focal	0.185	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.228	2.342	0.228	2.342
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	0.105	focal	0.105	-	4	0.459	-	-	-	-	-	-	-	-	-	-	-	-	-	0.130	2.189	0.130	2.189
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	0.247	focal	0.247	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.303	2.467	0.303	2.467
BCL2A1	Q16548	protein_coding	15	q25.1	-	-	-	-	-0.298	focal	-0.298	-	50	4.108	-1.357	-	-	-	-	-	-	-	-	-	-	-	-	-0.383	1.533	-0.383	1.533
RPS4XP8	-	pseudogene	6	q25.2	-	-	-	-	-0.043	focal	-0.043	-	3	0.348	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.054	1.927	-0.054	1.927
RPS4XP9	-	pseudogene	6	q22.32	-	-	-	-	-0.061	focal	-0.061	-	2	0.229	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.077	1.896	-0.077	1.896
RNU4-76P	-	snRNA	6	q22.31	-	-	-	-	0.010	focal	0.01	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.017	0.012	2.017
ITGAV	P06756	protein_coding	2	q32.1	yes	-	-	-	0.151	focal	0.151	-	23828	259.649	-0.601	-	-	-	-	-	-	-	-	-	-	-	CILENGITIDE	0.186	2.276	0.186	2.276
ITGAL	P20701	protein_coding	16	p11.2	-	-	-	-	-0.128	focal	-0.128	-	787	10.880	-1.070	-	-	-	-	-	-	-	-	-	-	-	-	-0.162	1.788	-0.162	1.788
ITGAM	P11215	protein_coding	16	p11.2	-	-	-	-	-0.404	focal	-0.404	-	3185	50.304	-0.556	-	-	-	-	-	-	-	-	-	-	-	-	-0.526	1.389	-0.526	1.389
ITGAD	Q13349	protein_coding	16	p11.2	-	-	-	-	-0.404	focal	-0.404	-	78	1.582	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.526	1.389	-0.526	1.389
ITGAE	P38570	protein_coding	17	p13.2	-	-	-	-	-0.073	focal	-0.073	-	228	3.064	-0.613	-	-	-	-	-	-	-	-	-	-	-	-	-0.092	1.877	-0.092	1.877
ATP1B3-AS1	-	antisense	3	q23	-	-	-	-	0.170	focal	0.17	-	2	0.476	-	-	-	-	-	-	-	-	-	-	-	-	-	0.210	2.313	0.210	2.313
IGF2R	P11717	protein_coding	6	q25.3	-	-	-	-	-0.222	focal	-0.222	-	20905	187.833	0.234	-	-	-	-	-	-	-	-	-	-	-	-	-0.283	1.643	-0.283	1.643
SLC36A4	-	protein_coding	11	q21	-	-	-	-	-0.202	focal	-0.202	-	573	5.296	-0.680	-	-	-	-	-	-	-	-	-	-	-	-	-0.257	1.673	-0.257	1.673
SLC36A3	-	protein_coding	5	q33.1	-	-	-	-	0.006	focal	0.006	-	5	0.098	-	-	-	-	-	-	-	-	-	-	-	-	-	0.007	2.010	0.007	2.010
CKS1B	P61024	protein_coding	5	q12.1,q21.3	-	-	-	-	0.205,0.266,0.535	focal,focal,focal	0.535	-	0	0.000	-0.605	-	-	-	-	-	-	-	-	-	-	-	-	0.252,0.325,0.643	2.382,2.506,3.122	0.643	3.122
SLC36A1	Q7Z2H8	protein_coding	5	q33.1	-	-	-	-	0.006	focal	0.006	-	910	11.549	-0.508	-	-	-	-	-	-	-	-	-	-	-	-	0.007	2.010	0.007	2.010
ARTN	-	protein_coding	1	p34.1	-	-	-	-	0.345	focal	0.345	-	98	3.299	-0.181	-	-	-	-	-	-	-	-	-	-	-	-	0.420	2.675	0.420	2.675
ART1	P52961	protein_coding	11	p15.4	-	-	-	-	-0.050,-0.310	focal,focal	-0.31	-	14	0.854	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.063,-0.399	1.915,1.517	-0.399	1.517
ART3	-	protein_coding	4	q21.1	-	-	-	-	-0.045	focal	-0.045	-	121	3.303	-0.524	-	-	-	-	-	-	-	-	-	-	-	-	-0.056	1.923	-0.056	1.923
ART5	-	protein_coding	11	p15.4	-	-	-	-	-0.310	focal	-0.31	-	46	2.434	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.399	1.517	-0.399	1.517
ART4	-	protein_coding	12	p12.3	-	-	-	-	-0.001	focal	-0.001	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.001	1.998	-0.001	1.998
CRTAM	-	protein_coding	11	q24.1	-	-	-	-	-0.269	focal	-0.269	-	19	0.636	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.345	1.575	-0.345	1.575
DPYD-IT1	-	sense_intronic	1	p21.3	-	-	-	-	0.532	focal	0.532	-	1	0.223	-	-	-	-	-	-	-	-	-	-	-	-	-	0.639	3.115	0.639	3.115
CADPS2	-	protein_coding	7	q31.32	-	-	-	-	0.545	focal	0.545	-	2485	34.937	0.898	-	-	-	-	-	-	-	-	-	-	-	-	0.654	3.148	0.654	3.148
RLF	-	protein_coding	1	p34.2	-	-	-	-	0.429	focal	0.429	-	10219	146.387	0.445	-	-	-	-	-	-	-	-	-	-	-	-	0.519	2.866	0.519	2.866
RNU6-590P	-	snRNA	12	p13.1	-	-	-	-	-0.169	focal	-0.169	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.215	1.724	-0.215	1.724
CRTAP	-	protein_coding	3	p22.3	-	-	-	-	-0.015,0.072,1.339	focal,focal,focal	1.339	-	2068	27.637	-1.364	-	-	-	-	-	-	-	-	-	-	-	-	-0.019,0.089,1.542	1.974,2.128,5.824	1.542	5.824
ADPGK	-	protein_coding	15	q24.1	-	-	-	-	0.041	focal	0.041	-	1381	20.833	0.851	-	-	-	-	-	-	-	-	-	-	-	-	0.051	2.072	0.051	2.072
HPYR1	-	lincRNA	8	q24.22	-	-	-	-	-0.366	focal	-0.366	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.474	1.440	-0.474	1.440
CPEB4	-	protein_coding	5	q35.2	-	-	-	-	0.540	focal	0.54	-	11164	97.243	0.498	-	-	-	-	-	-	-	-	-	-	-	-	0.648	3.135	0.648	3.135
CPEB1	-	protein_coding	15	q25.2	-	-	-	-	-0.446	focal	-0.446	-	79	0.860	-0.989	-	-	-	-	-	-	-	-	-	-	-	-	-0.583	1.335	-0.583	1.335
CPEB3	-	protein_coding	10	q23.32	-	-	-	-	-0.681	focal	-0.681	-	743	8.420	0.615	-	-	-	-	-	-	-	-	-	-	-	-	-0.917	1.059	-0.917	1.059
CPEB2	-	protein_coding	4	p15.33	-	-	-	-	0.079	focal	0.079	-	4133	51.525	0.070	-	-	-	-	-	-	-	-	-	-	-	-	0.098	2.141	0.098	2.141
SRBD1	-	protein_coding	2	p21	-	-	-	-	-0.159,-0.324	focal,focal	-0.324	-	1852	32.845	0.760	-	-	-	-	-	-	-	-	-	-	-	-	-0.202,-0.418	1.739,1.497	-0.418	1.497
ABAT	P80404	protein_coding	16	p13.2	-	-	-	-	-0.227	focal	-0.227	-	3959	36.353	-0.764	-	-	-	-	-	-	-	-	-	-	-	-	-0.290	1.636	-0.290	1.636
POU5F1B	-	protein_coding	8	q24.21	-	-	-	-	-0.324	focal	-0.324	-	138	2.305	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.418	1.497	-0.418	1.497
PHOX2A	-	protein_coding	11	q13.4	-	-	-	-	-0.407	focal	-0.407	-	22	1.103	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.530	1.385	-0.530	1.385
OR4A44P	-	pseudogene	11	p11.2	-	-	-	-	-0.294	focal	-0.294	-	2	0.189	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.378	1.539	-0.378	1.539
PHOX2B	-	protein_coding	4	p13	-	yes	-	-	-0.051	focal	-0.051	-	25	0.724	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.064	1.913	-0.064	1.913
NLRP14	-	protein_coding	11	p15.4	-	-	-	-	-0.159	focal	-0.159	-	181	4.464	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.202	1.739	-0.202	1.739
UPK2	-	protein_coding	11	q23.3	-	-	-	-	-0.314	focal	-0.314	-	48	3.883	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.404	1.511	-0.404	1.511
CFH	-	protein_coding	1	q31.3	-	-	-	-	0.383	focal	0.383	-	22824	250.754	0.875	-	-	-	-	-	-	-	-	-	-	-	-	0.465	2.760	0.465	2.760
CFI	P05156	protein_coding	4	q25	-	-	-	-	-0.066	focal	-0.066	-	1511	34.907	-0.384	-	-	-	-	-	-	-	-	-	-	-	-	-0.083	1.888	-0.083	1.888
ANKFY1	-	protein_coding	17	p13.2	-	-	-	-	-0.073,0.202	focal,focal	0.202	-	6535	41.404	1.490	-	-	-	-	-	-	-	-	-	-	-	-	-0.092,0.248	1.877,2.376	0.248	2.376
RNU6-347P	-	snRNA	20	q13.2	-	-	-	-	-0.150	focal	-0.15	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.190	1.753	-0.190	1.753
CFB	P00751	protein_coding	6	p21.33	-	-	-	-	-0.059	focal	-0.059	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.074	1.900	-0.074	1.900
TPT1-AS1	-	antisense	13	q14.13	-	-	-	-	0.227	focal	0.227	-	232	2.448	0.125	-	-	-	-	-	-	-	-	-	-	-	-	0.279	2.426	0.279	2.426
CFP	-	protein_coding	X	p11.23	-	-	-	-	0.181	focal	0.181	-	306	5.983	0.853	-	-	-	-	-	-	-	-	-	-	-	-	0.223	1.167	0.223	1.167
RNU5B-1	-	snRNA	15	q22.31	-	-	-	-	0.487	focal	0.487	-	44	33.938	-	-	-	-	-	-	-	-	-	-	-	-	-	0.587	3.004	0.587	3.004
AAAS	-	protein_coding	12	q13.13	-	-	-	-	-0.088	focal	-0.088	-	1565	33.839	1.576	-	-	-	-	-	-	-	-	-	-	-	-	-0.111	1.852	-0.111	1.852
RNU6-767P	-	snRNA	17	p11.2	-	-	-	-	-0.695	focal	-0.695	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.938	1.044	-0.938	1.044
SIDT1	-	protein_coding	3	q13.2	-	-	-	-	0.143	focal	0.143	-	1924	21.326	0.999	-	-	-	-	-	-	-	-	-	-	-	-	0.177	2.260	0.177	2.260
SIDT2	-	protein_coding	11	q23.3	-	-	-	-	-0.238	focal	-0.238	-	4778	47.181	-0.815	-	-	-	-	-	-	-	-	-	-	-	-	-0.304	1.620	-0.304	1.620
SAGE1	-	protein_coding	X	q26.3	-	-	-	-	0.070	focal	0.07	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.087	1.062	0.087	1.062
TGIF2LX	-	protein_coding	X	q21.31	-	-	-	-	0.143	focal	0.143	-	28	2.500	-	-	-	-	-	-	-	-	-	-	-	-	-	0.177	1.130	0.177	1.130
AAGAB	-	protein_coding	15	q22.33,q23	-	-	-	-	-0.341	focal	-0.341	-	501	11.695	-1.137	-	-	-	-	-	-	-	-	-	-	-	-	-0.441	1.474	-0.441	1.474
C4orf19	-	protein_coding	4	p14	-	-	-	-	-0.080	focal	-0.08	-	602	19.445	0.790	-	-	-	-	-	-	-	-	-	-	-	-	-0.101	1.865	-0.101	1.865
SLC7A6OS	-	protein_coding	16	q22.1	-	-	-	-	-0.166	focal	-0.166	-	645	11.126	0.757	-	-	-	-	-	-	-	-	-	-	-	-	-0.211	1.728	-0.211	1.728
C4orf17	-	protein_coding	4	q23	-	-	-	-	-0.058	focal	-0.058	-	9	0.247	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.073	1.901	-0.073	1.901
CDH26	-	protein_coding	20	q13.33	-	-	-	-	-0.223	focal	-0.223	-	418	6.494	-0.189	-	-	-	-	-	-	-	-	-	-	-	-	-0.285	1.642	-0.285	1.642
EIF3EP2	-	pseudogene	2	q24.2	-	-	-	-	-0.047	focal	-0.047	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.059	1.920	-0.059	1.920
EIF3EP1	-	pseudogene	6	q13	-	-	-	-	-0.020	focal	-0.02	-	197	13.394	1.737	-	-	-	-	-	-	-	-	-	-	-	-	-0.025	1.966	-0.025	1.966
RNU6-67P	-	snRNA	13	q31.1	-	-	-	-	0.246	focal	0.246	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.301	2.465	0.301	2.465
SCYL1	-	protein_coding	11	q13.1	-	-	-	-	-0.247	focal	-0.247	-	4180	87.342	-1.227	-	-	-	-	-	-	-	-	-	-	-	-	-0.316	1.607	-0.316	1.607
IGLVI-38	-	IG_V_pseudogene	22	q11.22	-	-	-	-	0.057	focal	0.057	-	2	0.465	-	-	-	-	-	-	-	-	-	-	-	-	-	0.071	2.101	0.071	2.101
NBEAP1	-	pseudogene	15	q11.2	-	-	-	-	-0.488	focal	-0.488	-	3	0.073	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.641	1.283	-0.641	1.283
NBEAP3	-	pseudogene	22	q11.1	-	-	-	-	-0.243	focal	-0.243	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.311	1.612	-0.311	1.612
RFPL4AL1	-	protein_coding	19	q13.42	-	-	-	-	0.036	focal	0.036	-	2	0.197	-	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.063	0.045	2.063
RNU6ATAC39P	-	snRNA	10	p13	-	-	-	-	-0.792	focal	-0.792	-	1	0.600	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.083	0.944	-1.083	0.944
ABCE1	P61221	protein_coding	4	q31.21	-	-	-	-	0.027	focal	0.027	-	3701	52.856	-1.164	-	-	-	-	-	-	-	-	-	-	-	-	0.034	2.047	0.034	2.047
TEN1-CDK3	-	processed_transcript	17	q25.1	-	-	-	-	0.207	focal	0.207	-	72	1.653	-0.521	-	-	-	-	-	-	-	-	-	-	-	-	0.254	2.386	0.254	2.386
ZNF197-AS1	-	antisense	3	p21.31	-	-	-	-	-0.050	focal	-0.05	-	19	2.729	0.920	-	-	-	-	-	-	-	-	-	-	-	-	-0.063	1.915	-0.063	1.915
MKRN2OS	-	protein_coding	3	p25.2	-	-	-	-	0.008	focal	0.008	-	6	0.294	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	2.014	0.010	2.014
MSL3P1	-	pseudogene	2	q37.1	-	-	-	-	-0.257	focal	-0.257	-	315	12.372	0.874	-	-	-	-	-	-	-	-	-	-	-	-	-0.329	1.592	-0.329	1.592
NCBP2-AS1	-	antisense	3	q29	-	-	-	-	0.106	focal	0.106	-	28	4.458	-	-	-	-	-	-	-	-	-	-	-	-	-	0.131	2.191	0.131	2.191
SNORD115-1	-	snoRNA	15	q11.2	-	-	-	-	-0.484	focal	-0.484	-	1	1.091	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.635	1.287	-0.635	1.287
NCBP2-AS2	-	lincRNA	3	q29	-	-	-	-	0.106	focal	0.106	-	180	17.544	-0.600	-	-	-	-	-	-	-	-	-	-	-	-	0.131	2.191	0.131	2.191
MDC1-AS1	-	antisense	6	p21.33	-	-	-	-	0.099	focal	0.099	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.123	2.178	0.123	2.178
SPPL2A	-	protein_coding	15	q21.2	-	-	-	-	-0.264	focal	-0.264	-	831	23.977	0.493	-	-	-	-	-	-	-	-	-	-	-	-	-0.338	1.582	-0.338	1.582
RNU6-163P	-	snRNA	10	p15.1	-	-	-	-	-0.631	focal	-0.631	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.844	1.114	-0.844	1.114
ZNF117	-	protein_coding	7	q11.21	-	-	-	-	0.322	focal	0.322	-	20776	414.748	1.426	-	-	-	-	-	-	-	-	-	-	-	-	0.392	2.625	0.392	2.625
ZNF114	-	protein_coding	19	q13.33	-	-	-	-	0.727	focal	0.727	-	852	24.694	0.805	-	-	-	-	-	-	-	-	-	-	-	-	0.863	3.638	0.863	3.638
ZNF112	-	protein_coding	19	q13.31	-	-	-	-	0.154,0.254,0.626	focal,focal,focal	0.626	-	3574	83.103	1.733	-	-	-	-	-	-	-	-	-	-	-	-	0.190,0.311,0.748	2.282,2.481,3.358	0.748	3.358
SEZ6L	-	protein_coding	22	q12.1	-	-	-	-	-0.074	focal	-0.074	-	4677	58.511	0.094	-	-	-	-	-	-	-	-	-	-	-	-	-0.093	1.875	-0.093	1.875
FAM197Y7P	-	antisense	Y	p11.2	-	-	-	-	-0.140	focal	-0.14	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.177	0.884	-0.177	0.884
PRKAR2A	-	protein_coding	3	p21.31	-	-	-	-	0.017	focal	0.017	-	1164	15.675	0.500	-	-	-	-	-	-	-	-	-	-	-	-	0.021	2.030	0.021	2.030
PRKAR2B	P31323	protein_coding	7	q22.3	-	-	-	-	0.377	focal	0.377	-	1416	29.341	-0.682	-	-	-	-	-	-	-	-	-	-	-	-	0.458	2.747	0.458	2.747
MAGT1	-	protein_coding	X	q21.1	-	-	-	-	0.240	focal	0.24	-	330	6.073	-1.020	-	-	-	-	-	-	-	-	-	-	-	-	0.294	1.226	0.294	1.226
RNU7-119P	-	snRNA	3	p13	-	-	-	-	0.068	focal	0.068	-	1	1.420	-	-	-	-	-	-	-	-	-	-	-	-	-	0.085	2.121	0.085	2.121
TMEM200B	-	protein_coding	1	p35.3	-	-	-	-	0.244	focal	0.244	-	64	2.170	0.024	-	-	-	-	-	-	-	-	-	-	-	-	0.299	2.461	0.299	2.461
RNU7-104P	-	snRNA	2	q31.2	-	-	-	-	-0.054	focal	-0.054	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.068	1.908	-0.068	1.908
ITGA2B	P08514	protein_coding	17	q21.31	-	-	-	-	0.021	focal	0.021	-	555	8.946	0.617	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.037	0.026	2.037
FAM58DP	-	pseudogene	13	q12.11	-	-	-	-	0.256	focal	0.256	-	4	0.304	-	-	-	-	-	-	-	-	-	-	-	-	-	0.313	2.485	0.313	2.485
PHACTR4	-	protein_coding	1	p35.3	-	-	-	-	0.366	focal	0.366	-	9033	112.800	0.590	-	-	-	-	-	-	-	-	-	-	-	-	0.445	2.722	0.445	2.722
